,timestamp,url,profile,domElements_median,domElements_mean,domElements_min,domElements_max,ttfb_median,ttfb_mean,ttfb_min,ttfb_max,loadEventEnd_median,loadEventEnd_mean,loadEventEnd_min,loadEventEnd_max,firstPaint_median,firstPaint_mean,firstPaint_min,firstPaint_max,fullyLoaded_median,fullyLoaded_mean,fullyLoaded_min,fullyLoaded_max,domComplete_median,domComplete_mean,domComplete_min,domComplete_max,throttleType,throttleparameter,httpVersion,lighthouse_performance,first-contentful-paint_score,first-contentful-paint_numericValue,largest-contentful-paint_score,largest-contentful-paint_numericValue,speed-index_score,speed-index_numericValue,total-blocking-time_score,total-blocking-time_numericValue,cumulative-layout-shift_score,cumulative-layout-shift_numericValue
0,2021-11-22T10:58:15+00:00,https://www.canva.com/,3g,4259,4259,4259,4259,565,591,554,654,3671,3662,3635,3681,863,885,831,962,3785,3778,3761,3787,3649,3645,3612,3673,packetLoss,0.60%,3,0.47,0.8,2135.341,0.64,3511.341,0.49,5834.790276,0.06,2346.5,1,0.001323025174
0,2021-11-22T11:01:28+00:00,https://www.whatsapp.com/,3g,560,560,560,560,683,720,440,1038,1028,1067,792,1380,890,929,645,1251,2261,2297,2017,2613,1020,1059,784,1372,packetLoss,0.60%,3,0.81,0.64,2604.552,0.41,4330.3225,0.97,2604.552,1,0,1,0.0137546658
0,2021-11-22T11:29:06+00:00,https://www.glassdoor.com/,3g,1146,1146,1146,1146,1107,1101,1047,1148,4367,4346,4183,4487,1362,1368,1331,1412,7326,7338,7306,7381,4285,4265,4099,4410,packetLoss,0.75%,3,0.16,0.31,3660.218,0.01,9336.9145,0.07,10681.42962,0.01,4333,0.78,0.1446130371
0,2021-11-22T11:16:32+00:00,https://www.canva.com/,3g,4252,4253,4248,4258,544,572,530,642,3639,3617,3456,3756,829,863,811,948,4266,4105,3541,4509,3634,3603,3444,3730,packetLoss,0.75%,3,0.46,0.8,2147.363,0.63,3532.363,0.46,6032.628472,0.04,2653.5,1,0.002768866221
0,2021-11-22T11:19:31+00:00,https://www.whatsapp.com/,3g,560,560,560,560,407,416,371,470,740,761,710,834,626,637,594,690,1973,2020,1943,2143,732,753,700,826,packetLoss,0.75%,3,0.84,0.64,2602.295,0.51,3947.379,0.97,2602.295,1,0,1,0.0137546658
0,2021-11-22T09:57:09+00:00,https://www.glassdoor.com/,3g,1146,1146,1146,1147,1219,1402,1075,1911,4547,4832,4432,5517,1477,1670,1323,2210,7448,7637,7312,8151,4486,4763,4362,5441,packetLoss,0%,3,0.17,0.31,3675.294,0.02,8617.729,0.07,10912.50351,0.01,4828,0.82,0.1294411214
0,2021-11-22T09:46:36+00:00,https://www.canva.com/,3g,4260,4257,4248,4263,592,597,584,616,3715,3753,3671,3873,911,895,862,912,4016,4041,3798,4310,3708,3737,3645,3858,packetLoss,0%,3,0.46,0.8,2158.54,0.63,3524.54,0.44,6174.151087,0.04,2685.463,1,0.002768866221
0,2021-11-22T09:49:40+00:00,https://www.whatsapp.com/,3g,560,560,560,560,429,422,407,430,768,769,766,774,645,640,627,647,1997,1998,1995,2002,759,761,758,766,packetLoss,0%,3,0.83,0.64,2598.63,0.47,4099.64,0.97,2598.63,1,0,1,0.0137546658
0,2021-11-22T11:46:35+00:00,https://www.glassdoor.com/,3g,1146,1146,1146,1147,1178,1982,1120,3647,5221,5446,4480,6638,1461,2248,1374,3910,7395,8175,7282,9848,5145,5376,4424,6558,packetLoss,0.90%,3,0.16,0.31,3644.533,0.02,8750.023,0.04,11838.87111,0.01,4411.5,0.78,0.1446807234
0,2021-11-22T11:36:11+00:00,https://www.canva.com/,3g,4259,4259,4258,4259,622,631,602,668,3722,3772,3701,3894,930,935,911,965,3853,3866,3774,3970,3698,3759,3694,3885,packetLoss,0.90%,3,0.47,0.8,2134.753,0.67,3418.342,0.49,5850.949243,0.04,2620.5,1,0.0009662272135
0,2021-11-22T11:39:22+00:00,https://www.whatsapp.com/,3g,560,560,560,560,440,2100,429,5431,796,2451,793,5764,677,2321,643,5644,2024,6336,2023,14962,786,2442,784,5756,packetLoss,0.90%,3,0.84,0.7,2447.487,0.51,3946.709,0.98,2447.487,1,0,1,0.0137546658
