,timestamp,url,profile,domElements_median,domElements_mean,domElements_min,domElements_max,ttfb_median,ttfb_mean,ttfb_min,ttfb_max,loadEventEnd_median,loadEventEnd_mean,loadEventEnd_min,loadEventEnd_max,firstPaint_median,firstPaint_mean,firstPaint_min,firstPaint_max,fullyLoaded_median,fullyLoaded_mean,fullyLoaded_min,fullyLoaded_max,domComplete_median,domComplete_mean,domComplete_min,domComplete_max,throttleType,throttleparameter,httpVersion,lighthouse_performance,first-contentful-paint_score,first-contentful-paint_numericValue,largest-contentful-paint_score,largest-contentful-paint_numericValue,speed-index_score,speed-index_numericValue,total-blocking-time_score,total-blocking-time_numericValue,cumulative-layout-shift_score,cumulative-layout-shift_numericValue
0,2021-11-23T07:49:33+00:00,https://www.canva.com/,3g,4251,4250,4248,4252,651,656,563,755,3819,3767,3480,4003,946,959,861,1071,3898,3840,3553,4070,3808,3755,3458,3998,bandwidth,720Mbps,3,0.47,0.79,2161.392,0.61,3619.392,0.52,5702.372786,0.06,2323.0405,1,0.001724514008
0,2021-11-23T07:52:33+00:00,https://www.whatsapp.com/,3g,560,560,560,560,400,401,379,424,746,766,708,845,610,615,591,643,1981,1995,1945,2058,738,757,700,834,bandwidth,720Mbps,3,0.84,0.64,2601.468,0.51,3950.869,0.97,2601.468,1,0,1,0.0137546658
0,2021-11-23T08:09:39+00:00,https://www.live.com/,3g,449,449,449,449,153,152,103,199,1933,1932,1855,2008,416,423,378,476,2232,2237,2161,2317,1933,1932,1855,2008,bandwidth,720Mbps,3,0.42,0.51,2962.221,0.01,10168.615,0.81,4022.729711,0.3,948,1,0
0,2021-11-23T05:18:46+00:00,https://www.glassdoor.com/,3g,1146,1146,1146,1146,1147,1150,1124,1178,4577,4595,4540,4667,1409,1435,1378,1518,7353,7380,7311,7476,4490,4518,4460,4604,bandwidth,80Mbps,3,0.17,0.4,3325.154,0.01,8984.3715,0.04,11974.26715,0.01,4430.5,0.77,0.1463085598
0,2021-11-23T05:07:17+00:00,https://www.canva.com/,3g,4251,4251,4248,4254,532,552,519,604,3713,3674,3504,3804,868,866,816,915,3797,3978,3787,4350,3697,3663,3495,3798,bandwidth,80Mbps,3,0.47,0.8,2137.933,0.64,3509.933,0.49,5844.885745,0.06,2349.5,1,0.002768866221
0,2021-11-23T05:10:17+00:00,https://www.whatsapp.com/,3g,560,560,560,560,411,427,392,477,738,761,735,811,627,641,608,689,1971,1997,1967,2054,730,753,727,801,bandwidth,80Mbps,3,0.81,0.64,2600.764,0.42,4327.236,0.97,2600.764,1,0,1,0.0137546658
0,2021-11-23T05:22:25+00:00,https://www.live.com/,3g,449,449,449,449,165,1800,91,5144,1949,3592,1879,6948,460,2093,371,5449,2256,3896,2181,7250,1948,3591,1878,6948,bandwidth,80Mbps,3,0.41,0.52,2943.048,0.01,10062.24,0.82,3934.515002,0.26,1028,1,0
0,2021-11-23T07:41:32+00:00,https://www.glassdoor.com/,3g,1146,1146,1146,1147,1322,1438,1076,1915,6192,14833,5350,32957,1587,1709,1333,2208,8270,17959,7521,38085,6132,14767,5289,32880,bandwidth,640Mbps,3,0.17,0.31,3667.001,0.02,8769.4175,0.01,16889.05002,0.01,4609.5,0.82,0.1311366442
0,2021-11-23T07:23:22+00:00,https://www.canva.com/,3g,4251,4253,4248,4259,555,586,552,650,8757,7067,3526,8917,863,2568,846,5994,12402,10079,3624,14211,8743,7050,3499,8907,bandwidth,640Mbps,3,0.48,0.8,2158.258,0.66,3435.19,0.48,5907.456172,0.06,2273.5,1,0.002768866221
0,2021-11-23T07:26:31+00:00,https://www.whatsapp.com/,3g,560,560,560,560,418,409,390,418,777,773,752,789,641,639,623,653,2010,2000,1978,2012,769,765,744,781,bandwidth,640Mbps,3,0.81,0.64,2605.855,0.41,4330.855,0.97,2605.855,1,0,1,0.0137546658
0,2021-11-23T07:46:00+00:00,https://www.live.com/,3g,449,449,449,449,155,158,118,201,1877,1901,1870,1955,423,426,375,481,2190,2205,2168,2258,1877,1900,1870,1954,bandwidth,640Mbps,3,0.43,0.52,2927.774,0.01,9969.232,0.82,3920.478987,0.31,925.5,1,0
0,2021-11-23T06:52:08+00:00,https://www.glassdoor.com/,3g,1146,1146,1146,1147,1222,1467,1169,2009,5539,14272,4219,33057,1512,1778,1428,2395,8333,18000,7475,38191,5456,14190,4141,32973,bandwidth,480Mbps,3,0.21,0.4,3319.758,0.01,9394.508,0.06,11295.81134,0.02,3638.5,1,0.0117586263
0,2021-11-23T06:38:04+00:00,https://www.canva.com/,3g,4259,4257,4248,4264,606,613,597,635,3703,3565,3279,3713,944,943,918,966,3781,3643,3338,3809,3678,3547,3256,3706,bandwidth,480Mbps,3,0.47,0.8,2159.479,0.61,3607.479,0.54,5545.722196,0.05,2404.2815,1,0.002768866221
0,2021-11-23T06:41:05+00:00,https://www.whatsapp.com/,3g,560,560,560,560,411,416,398,439,751,753,717,792,628,626,592,658,1984,1980,1949,2007,743,745,709,783,bandwidth,480Mbps,3,0.84,0.68,2483.778,0.51,3950.4165,0.98,2483.778,1,0,1,0.0137546658
0,2021-11-23T06:56:22+00:00,https://www.live.com/,3g,449,449,449,449,169,170,158,183,5980,7305,1894,14040,425,438,411,479,6401,7753,2196,14661,5980,7305,1894,14040,bandwidth,480Mbps,3,0.42,0.52,2936.943,0.01,9977.951,0.82,3961.812287,0.28,991.5,1,0
