,timestamp,url,profile,domElements_median,domElements_mean,domElements_min,domElements_max,ttfb_median,ttfb_mean,ttfb_min,ttfb_max,loadEventEnd_median,loadEventEnd_mean,loadEventEnd_min,loadEventEnd_max,firstPaint_median,firstPaint_mean,firstPaint_min,firstPaint_max,fullyLoaded_median,fullyLoaded_mean,fullyLoaded_min,fullyLoaded_max,domComplete_median,domComplete_mean,domComplete_min,domComplete_max,throttleType,throttleparameter,httpVersion,lighthouse_performance,first-contentful-paint_score,first-contentful-paint_numericValue,largest-contentful-paint_score,largest-contentful-paint_numericValue,speed-index_score,speed-index_numericValue,total-blocking-time_score,total-blocking-time_numericValue,cumulative-layout-shift_score,cumulative-layout-shift_numericValue,num_http2_responses,num_http3_responses
0,2021-11-15T15:27:15+00:00,https://www.forbes.com/,3g,1983,1988,1983,1999,69,67,60,71,4005,3947,3570,4266,282,283,276,292,9793,10001,9716,10493,3973,3905,3527,4215,packetLoss,0.15%,3,0.24,0.73,2359.411,0.03,8055.903,0.06,11042.04554,0.02,3841.5,1,0.006669022136,506,12
0,2021-11-15T15:20:41+00:00,https://www.canva.com/,3g,4254,4255,4254,4258,640,851,542,1370,4053,3982,3748,4146,948,1350,841,2260,4497,4523,4439,4632,4049,3973,3745,4124,packetLoss,0.15%,3,0.51,0.8,2131.459,0.75,3132.134,0.45,6096.546819,0.11,1748,1,0.0009662272135,236,133
0,2021-11-15T17:09:45+00:00,https://www.whatsapp.com/,3g,560,560,560,560,464,781,447,1431,1711,1584,792,2250,677,998,674,1643,2023,2330,1992,2975,1701,1576,784,2243,packetLoss,1.05%,3,0.9,0.64,2609.28,0.84,2759.521,0.97,2609.28,1,0,0.86,0.116506546,59,4
0,2021-11-15T17:18:34+00:00,https://www.glassdoor.com/,3g,1144,1144,1144,1144,1791,2127,1781,2808,6374,6540,6012,7233,2170,2501,2164,3170,9853,10309,9703,11371,6327,6485,5951,7176,packetLoss,1.05%,3,0.16,0.29,3724.283,0,11359.868,0.03,12594.79634,0,14062.5,0.82,0.1294411214,167,143
0,2021-11-15T17:13:41+00:00,https://www.forbes.com/,3g,1979,1982,1979,1987,50,56,48,70,4630,13828,4131,32724,275,271,260,277,12084,23409,9916,48226,4606,13799,4111,32679,packetLoss,1.05%,3,0.44,0.76,2269.805,0.82,2875.777,0.06,11204.56832,0.01,4366.5,1,0.006669022136,521,26
0,2021-11-15T17:06:53+00:00,https://www.canva.com/,3g,4254,4254,4254,4254,584,700,556,960,4447,4688,3993,5624,1252,1328,870,1861,4827,5047,4345,5969,4444,4678,3988,5603,packetLoss,1.05%,3,0.51,0.79,2165.766,0.74,3172.637,0.58,5354.522376,0.08,2019.132,1,0.0009662272135,220,158
0,2021-11-15T15:05:27+00:00,https://www.whatsapp.com/,3g,560,560,560,560,499,519,494,565,950,947,907,983,801,813,786,853,2186,2189,2159,2221,943,939,899,976,packetLoss,0%,3,0.83,0.63,2635.33,0.51,3976.96,0.97,2635.33,1,0,1,0.0137546658,61,3
0,2021-11-15T15:13:46+00:00,https://www.glassdoor.com/,3g,1144,1144,1144,1144,1269,1397,1226,1695,7387,7830,7280,8823,2368,2219,1810,2480,11886,11719,10145,13125,7310,7766,7232,8755,packetLoss,0%,3,0.14,0.12,4823.916,0,21859.8375,0.01,16055.14607,0,15270.5,0.83,0.124699707,198,105
0,2021-11-15T15:09:13+00:00,https://www.forbes.com/,3g,1979,1982,1979,1987,83,86,82,92,4574,4610,4564,4692,318,327,305,357,10303,10292,10109,10465,4539,4577,4524,4669,packetLoss,0%,3,0.44,0.74,2334.173,0.81,2885.2375,0.07,10663.72737,0.01,5262.5,1,0.01824951172,499,12
0,2021-11-15T15:02:22+00:00,https://www.canva.com/,3g,4254,4254,4254,4254,1056,1008,643,1324,5142,5267,4425,6234,1393,1378,1015,1725,7163,7258,6659,7952,5138,5262,4417,6230,packetLoss,0%,3,0.47,0.75,2285.621,0.7,3307.831,0.32,7063.326294,0.07,2173.5,1,0.0006458333333,233,139
