,timestamp,url,profile,domElements_median,domElements_mean,domElements_min,domElements_max,ttfb_median,ttfb_mean,ttfb_min,ttfb_max,loadEventEnd_median,loadEventEnd_mean,loadEventEnd_min,loadEventEnd_max,firstPaint_median,firstPaint_mean,firstPaint_min,firstPaint_max,fullyLoaded_median,fullyLoaded_mean,fullyLoaded_min,fullyLoaded_max,domComplete_median,domComplete_mean,domComplete_min,domComplete_max,throttleType,throttleparameter,httpVersion,num_http2_responses,num_http3_responses,lighthouse_performance,first-contentful-paint_score,first-contentful-paint_numericValue,largest-contentful-paint_score,largest-contentful-paint_numericValue,speed-index_score,speed-index_numericValue,total-blocking-time_score,total-blocking-time_numericValue,cumulative-layout-shift_score,cumulative-layout-shift_numericValue
0,2021-11-16T13:42:38+00:00,https://www.glassdoor.com/,3g,1144,1144,1144,1144,1521,2492,1411,4543,6340,7430,6277,9673,1992,2969,1895,5020,10522,11170,9893,13096,6327,7382,6209,9609,bandwidth,480Mbps,3,125,181,0.15,0.28,3791.2600000000007,0,11566.532,0.02,14053.044415403121,0,19617.500000000007,0.82,0.1293892415364583
0,2021-11-16T13:38:28+00:00,https://www.forbes.com/,3g,1833,1881,1833,1976,126,133,117,155,762,3020,711,7588,367,375,366,391,1176,6636,1164,17567,762,3005,711,7543,bandwidth,480Mbps,3,208,35,0.86,0.76,2273.1279999999997,0.78,3025.978,0.92,3187.9029403307068,0.89,207.49999999999955,1,0.00812390316857232
0,2021-11-16T13:46:35+00:00,https://www.live.com/,3g,449,449,449,449,277,296,275,337,3075,3007,2841,3106,782,742,607,838,3401,3320,3146,3413,3075,3007,2840,3106,bandwidth,480Mbps,3,162,3,0.38,0.5,3002.5899999999992,0.01,10027.491999999998,0.78,4174.139818950156,0.14,1493.4999999999995,1,0
0,2021-11-16T13:30:33+00:00,https://www.canva.com/,3g,4254,4254,4254,4254,705,729,688,795,5351,5333,5215,5432,1140,1178,1102,1293,5728,5750,5674,5849,5343,5327,5210,5427,bandwidth,480Mbps,3,148,233,0.52,0.78,2210.758,0.92,2376.258,0.45,6115.609136837717,0.03,3079.5,1,0.0006458333333333333
0,2021-11-16T15:21:03+00:00,https://www.whatsapp.com/,3g,560,560,560,560,499,511,472,563,1052,1058,978,1143,860,889,836,971,2322,2333,2263,2413,1042,1048,969,1133,bandwidth,800Mbps,3,62,3,0.83,0.63,2633.27,0.51,3977.4880000000003,0.97,2633.27,1,0,1,0.013754665798611112
0,2021-11-16T15:31:17+00:00,https://www.glassdoor.com/,3g,1144,1144,1144,1144,2102,2045,1506,2528,7257,7268,6942,7606,2605,2575,2080,3041,10460,10670,10068,11481,7198,7202,6873,7536,bandwidth,800Mbps,3,125,180,0.14,0.15,4550.209,0,18500.877,0.01,15580.999196128461,0,19018.5,0.83,0.12482076009114583
0,2021-11-16T15:25:37+00:00,https://www.forbes.com/,3g,1977,1977,1977,1978,138,134,117,147,6113,14157,5715,30643,385,410,354,491,17735,27148,17543,46167,6058,14100,5635,30607,bandwidth,800Mbps,3,431,78,0.39,0.73,2342.733,0.66,3440.068,0.05,11662.80968723031,0,5556.000000000002,1,0.007712920506795247
0,2021-11-16T15:35:26+00:00,https://www.live.com/,3g,449,449,449,449,371,368,343,391,3180,3178,3171,3182,806,820,799,854,3515,3519,3495,3548,3180,3178,3171,3182,bandwidth,800Mbps,3,163,2,0.37,0.49,3034.702,0.01,9862.335,0.79,4139.203752915793,0.14,1525,1,0
0,2021-11-16T15:17:49+00:00,https://www.canva.com/,3g,4254,4254,4254,4254,670,709,628,828,5138,5179,4953,5446,1145,1197,1116,1330,6085,8603,5782,13941,5133,5174,4948,5441,bandwidth,800Mbps,3,151,231,0.47,0.77,2237.387,0.71,3257.1390000000006,0.43,6218.474297773832,0.03,2912,1,0.0006458333333333333
0,2021-11-16T15:00:34+00:00,https://www.whatsapp.com/,3g,560,560,560,560,628,649,553,766,1134,1178,1120,1279,956,998,926,1111,2427,2458,2395,2551,1123,1168,1111,1270,bandwidth,720Mbps,3,60,3,0.81,0.64,2608.616,0.41,4346.668500000001,0.97,2608.616,1,0,1,0.013754665798611112
